# Generation	Energy	Composition
1	-9058.425448	Pt4Cu34
2	-9063.500155	Pt4Cu34
3	-9068.062377	Pt4Cu34
4	-9095.107787	Pt4Cu34
5	-9095.899501	Pt4Cu34
6	-9096.063733	Pt4Cu34
7	-9096.063733	Pt4Cu34
8	-9096.063733	Pt4Cu34
9	-9096.063733	Pt4Cu34
10	-9096.063733	Pt4Cu34
11	-9096.063733	Pt4Cu34
12	-9096.063733	Pt4Cu34
13	-9096.063733	Pt4Cu34
14	-9096.693126	Pt4Cu34
15	-9096.693126	Pt4Cu34
16	-9099.051171	Pt4Cu34
17	-9099.051171	Pt4Cu34
18	-9099.051171	Pt4Cu34
19	-9099.051171	Pt4Cu34
20	-9099.051171	Pt4Cu34
21	-9099.051171	Pt4Cu34
22	-9108.325598	Pt4Cu34
23	-9108.325598	Pt4Cu34
24	-9108.325598	Pt4Cu34
25	-9108.325598	Pt4Cu34
26	-9108.325598	Pt4Cu34
27	-9108.325598	Pt4Cu34
28	-9108.325598	Pt4Cu34
29	-9108.325598	Pt4Cu34
30	-9108.325598	Pt4Cu34
31	-9108.325598	Pt4Cu34
32	-9108.325598	Pt4Cu34
33	-9108.325598	Pt4Cu34
34	-9108.325598	Pt4Cu34
35	-9108.325598	Pt4Cu34
36	-9108.325598	Pt4Cu34
37	-9108.325598	Pt4Cu34
38	-9108.325598	Pt4Cu34
39	-9108.325598	Pt4Cu34
40	-9108.325598	Pt4Cu34
41	-9108.325598	Pt4Cu34
42	-9108.325598	Pt4Cu34
43	-9108.325598	Pt4Cu34
44	-9108.325598	Pt4Cu34
45	-9108.325598	Pt4Cu34
46	-9108.325598	Pt4Cu34
47	-9108.325598	Pt4Cu34
48	-9108.325598	Pt4Cu34
49	-9108.325598	Pt4Cu34
50	-9108.325598	Pt4Cu34
51	-9108.325598	Pt4Cu34
52	-9108.325598	Pt4Cu34
53	-9108.325598	Pt4Cu34
54	-9108.325598	Pt4Cu34
55	-9108.325598	Pt4Cu34
56	-9108.325598	Pt4Cu34
57	-9108.325598	Pt4Cu34
58	-9108.325598	Pt4Cu34
59	-9108.325598	Pt4Cu34
60	-9108.325598	Pt4Cu34
61	-9108.325598	Pt4Cu34
62	-9108.325598	Pt4Cu34
63	-9108.325598	Pt4Cu34
64	-9108.325598	Pt4Cu34
65	-9108.325598	Pt4Cu34
66	-9108.325598	Pt4Cu34
67	-9108.325598	Pt4Cu34
68	-9108.325598	Pt4Cu34
69	-9108.325598	Pt4Cu34
70	-9108.325598	Pt4Cu34
71	-9108.325598	Pt4Cu34
72	-9108.325598	Pt4Cu34
73	-9108.325598	Pt4Cu34
74	-9108.325598	Pt4Cu34
75	-9108.325598	Pt4Cu34
76	-9108.325598	Pt4Cu34
77	-9108.325598	Pt4Cu34
78	-9108.325598	Pt4Cu34
79	-9108.325598	Pt4Cu34
80	-9108.325598	Pt4Cu34
81	-9108.325598	Pt4Cu34
82	-9108.325598	Pt4Cu34
83	-9108.325598	Pt4Cu34
84	-9108.325598	Pt4Cu34
85	-9108.325598	Pt4Cu34
86	-9108.325598	Pt4Cu34
87	-9108.325598	Pt4Cu34
88	-9108.325598	Pt4Cu34
89	-9108.325598	Pt4Cu34
90	-9108.325598	Pt4Cu34
91	-9108.325598	Pt4Cu34
92	-9108.325598	Pt4Cu34
93	-9108.325598	Pt4Cu34
94	-9108.325598	Pt4Cu34
95	-9108.325598	Pt4Cu34
96	-9108.325598	Pt4Cu34
97	-9108.325598	Pt4Cu34
98	-9108.325598	Pt4Cu34
99	-9108.325598	Pt4Cu34
100	-9108.325598	Pt4Cu34
